期间,厂商编码,挂账单号,部件编码,部件名称,单位,价格,金额,类型,本月结存,上月结存,本月购进,本月退合格品,本月退不合格品,挂账数,厂家确认,确认备注,责任件数,索赔倍数,降价比例,备注
201612,100015,5000603371,100063213,XP680A曲轴箱盖(01型),EA,,-45,在线索赔,,,,,,,,,288,0,1,见SC16112920
201612,100015,5000603368,100002954,XP160A曲轴箱盖(04型_端通孔_曲孔25.4),EA,,-45,在线索赔,,,,,,,,,7,3,0,有铝屑
201612,100015,5000603137,100002621,XP140A-3曲轴箱体(无缸套_无轴承),EA,,-45,在线索赔,,,,,,,,,8,3,0,有铝屑
201612,100015,5000603128,100002949,XP140A-3曲轴箱盖(02型_终通孔_单放_短机),EA,,-45,在线索赔,,,,,,,,,0,0,0,要求机油尺孔带螺纹，实物不带螺纹，详见信息单SC16112203
201612,100015,5000603104,100002948,XP140A-3曲轴箱盖(01型_端通孔_单放),EA,,-45,在线索赔,,,,,,,,,5,3,0,有铝屑
201612,100015,5000601988,100002954,XP160A曲轴箱盖(04型_端通孔_曲孔25.4),EA,,-45,在线索赔,,,,,,,,,4,3,0,有铝屑
201612,100015,5000602424,100051891,XP380曲轴箱体组合,EA,,-45,在线索赔,,,,,,,,,1014,0,1,曲轴孔有油，见SC16120110
201612,100015,5000602182,100002621,XP140A-3曲轴箱体(无缸套_无轴承),EA,,-45,在线索赔,,,,,,,,,6,3,0,有铝屑 见sc16120611
201612,100015,5000601938,100003032,1P90F曲轴箱盖(新调整齿位置_台阶加高),EA,,-45,在线索赔,,,,,,,,,1,3,0,螺纹孔堵塞
201612,100015,5000602163,100003032,1P90F曲轴箱盖(新调整齿位置_台阶加高),EA,,-45,在线索赔,,,,,,,,,1440,0,3.5,合箱面有划痕，见SC16120503
201612,100015,5000601931,100002772,FH360E-3曲轴箱体(8孔_有孔_底两孔_M12孔_无支耳),EA,,-45,在线索赔,,,,,,,,,1,3,0,
201612,100015,5000602350,100002621,XP140A-3曲轴箱体(无缸套_无轴承),EA,,-45,在线索赔,,,,,,,,,1,3,0,合箱面不平
201612,100015,5000602614,100057540,XP200A-3曲轴箱体(无缸套_手启动_缸头螺栓孔加深),EA,,-45,在线索赔,,,,,,,,,0,0,0,
201612,100015,5000602032,100002948,XP140A-3曲轴箱盖(01型_端通孔_单放),EA,,-45,在线索赔,,,,,,,,,1,3,0,机油尺孔偏小
201612,100015,5000602527,100063213,XP680A曲轴箱盖(01型),EA,,-45,在线索赔,,,,,,,,,0,0,0,1人分选8小时，20元/小时，见SC16112910
201612,100015,5000602522,100002621,XP140A-3曲轴箱体(无缸套_无轴承),EA,,-45,在线索赔,,,,,,,,,1,3,0,漏气
201612,100015,5000602288,100050608,XP380曲轴箱盖(00型),EA,,-45,在线索赔,,,,,,,,,1,3,0,
201612,100015,5000602796,100051891,XP380曲轴箱体组合,EA,,366,在线索赔,,,,,,,,,1320,0,1,定位销安装孔轻微压伤，见SC16111808
201612,100015,5000603626,100057884,675-SU曲轴箱盖,EA,,366,进货检验,,,,,,,,,10,0,1,
201612,100015,5000603792,100002700,178F曲轴箱体(M状态_扫雪机),EA,,366,进货检验,,,,,,,,,48,0,5,
201612,100015,5000603743,100051891,XP380曲轴箱体组合,EA,,366,进货检验,,,,,,,,,54,0,5,
201612,100015,5000603672,100002970,1P70F曲轴箱盖(15型),EA,,366,进货检验,,,,,,,,,10,0,3.5,
201612,100015,5000603082,100065634,XP200A-3曲轴箱体(铸铁缸套_电启动_加大散热片),EA,,366,进货检验,,,,,,,,,5,0,3.5,
201612,100015,5000602890,100056390,XP140A-3曲轴箱体(带缸套_无轴承),EA,,366,进货检验,,,,,,,,,102,0,5,
201612,100015,5000603028,100002624,XP160A曲轴箱体(带缸套_有轴承),EA,,366,进货检验,,,,,,,,,48,0,5,
201612,100015,5000603258,100057538,XP200A-3曲轴箱体(铸铁缸套_手启动_缸头螺栓孔加深),EA,,366,进货检验,,,,,,,,,50,0,5,
201612,100015,5000603529,100064895,VP225曲轴箱体组合,EA,,366,进货检验,,,,,,,,,5,0,3.5,
201612,100015,5000603217,100065634,XP200A-3曲轴箱体(铸铁缸套_电启动_加大散热片),EA,,366,进货检验,,,,,,,,,1,0,5,
201612,100015,5000603561,100065634,XP200A-3曲轴箱体(铸铁缸套_电启动_加大散热片),EA,,366,进货检验,,,,,,,,,12,0,5,
201612,100015,5000603519,100065634,XP200A-3曲轴箱体(铸铁缸套_电启动_加大散热片),EA,,366,进货检验,,,,,,,,,10,0,3.5,
201612,100015,5000603593,100056390,XP140A-3曲轴箱体(带缸套_无轴承),EA,,366,进货检验,,,,,,,,,464,0,5,
201612,100015,5000603569,100056390,XP140A-3曲轴箱体(带缸套_无轴承),EA,,366,进货检验,,,,,,,,,200,0,5,
201612,100015,5000603383,100002700,178F曲轴箱体(M状态_扫雪机),EA,,366,进货检验,,,,,,,,,52,0,5,
201612,100015,5000603333,100064895,VP225曲轴箱体组合,EA,,366,进货检验,,,,,,,,,10,0,3.5,
201612,100015,5000602259,100056390,XP140A-3曲轴箱体(带缸套_无轴承),EA,,366,进货检验,,,,,,,,,100,0,5,
201612,100015,5000601963,100065634,XP200A-3曲轴箱体(铸铁缸套_电启动_加大散热片),EA,,366,进货检验,,,,,,,,,88,0,5,
201612,100015,5000602207,100066428,XP200A-3曲轴箱体(铸铁缸套_手启动_加大散热片),EA,,366,进货检验,,,,,,,,,2,0,1,
201612,100015,5000602206,100051891,XP380曲轴箱体组合,EA,,366,进货检验,,,,,,,,,5,0,5,
201612,100015,5000601934,100065634,XP200A-3曲轴箱体(铸铁缸套_电启动_加大散热片),EA,,366,进货检验,,,,,,,,,200,0,5,
201612,100015,5000602709,100002651,170-T0B曲轴箱体,EA,,366,进货检验,,,,,,,,,375,0,5,
201612,100015,5000602704,100002624,XP160A曲轴箱体(带缸套_有轴承),EA,,366,进货检验,,,,,,,,,26,0,5,
201612,100015,5000601918,100065632,XP200A-3曲轴箱盖(加强筋),EA,,366,进货检验,,,,,,,,,10,0,3.5,
201612,100015,5000602365,100061302,170-PUA曲轴箱体总成(有孔),EA,,366,进货检验,,,,,,,,,50,0,3.5,
201612,100015,5000602361,100002651,170-T0B曲轴箱体,EA,,366,进货检验,,,,,,,,,150,0,5,
201612,100015,5000602121,100065772,XP140A-3曲轴箱体(铸铁缸套_无轴承_加大散热片),EA,,366,进货检验,,,,,,,,,10,0,3.5,
201612,100015,5000601894,100051891,XP380曲轴箱体组合,EA,,366,进货检验,,,,,,,,,48,0,5,
201612,100015,5000602753,100051891,XP380曲轴箱体组合,EA,,366,进货检验,,,,,,,,,144,0,5,
201612,100015,5000602337,100051891,XP380曲轴箱体组合,EA,,-45,进货检验,,,,,,,,,50,0,3.5,
201612,100015,5000602087,100057884,675-SU曲轴箱盖,EA,,-45,进货检验,,,,,,,,,5,0,1,
201612,100015,5000602083,100030233,XP450E曲轴箱体,EA,,-45,进货检验,,,,,,,,,65,0,3.5,
201612,100015,5000602013,100002755,XP550E-3曲轴箱体(无通气管接头_废气管接头减小),EA,,-45,进货检验,,,,,,,,,5,0,5,
201612,100015,5000602795,100056390,XP140A-3曲轴箱体(带缸套_无轴承),EA,,-45,进货检验,,,,,,,,,100,0,5,
201612,100015,5000603311,100002755,XP550E-3曲轴箱体(无通气管接头_废气管接头减小),EA,,-45,质量抽查,,,,,,,,,1,30,0,箱体呼吸阀密封面有凹坑缺陷，见信息单：ZK16111403；
201612,100015,5000602130,100003032,1P90F曲轴箱盖(新调整齿位置_台阶加高),EA,,-45,质量抽查,,,,,,,,,1,10,0,边盖安装孔孔径不合格，见信息单：ZK16120601;
201612,100015,5000602808,,关于11月9-22日箱体延迟送货的索赔,EA,,-45,配套质量索赔,,,,,,,,,0,0,0,关于11月9-22日箱体延迟送货的索赔
201612,100015,5000603499,,关于11月22-28日箱体箱盖延迟送货的索赔,EA,,-45,配套质量索赔,,,,,,,,,0,0,0,关于11月22-28日箱体箱盖延迟送货的索赔
201612,100015,5000602201,,关于11月22-23日箱体箱盖延迟送货的索赔,EA,,-45,配套质量索赔,,,,,,,,,0,0,0,关于11月22-23日箱体箱盖延迟送货的索赔
201612,100015,5000603211,,物料清洁差,EA,,-45,企管质量折让,,,,,,,,,0,0,0,物料清洁差
201612,100015,5000603417,,箱体缸孔有损伤,EA,,-45,企管质量折让,,,,,,,,,0,0,0,箱体缸孔有损伤
201612,100015,5000602712,,隔板清洁差,EA,,-45,企管质量折让,,,,,,,,,0,0,0,隔板清洁差
201612,100015,5000603020,,关于XP380箱体质量索赔的减免,EA,,-45,其它扣款,,,,,,,,,0,0,0,关于XP380箱体质量索赔的减免
201612,100015,5000603418,,关于通机模具零部件公司使用的费用扣款,EA,,-45,其它扣款,,,,,,,,,0,0,0,关于通机模具零部件公司使用的费用扣款
201612,100015,5000602674,,关于2016年10月供应商待检单单据打印扣款,EA,,-45,其它扣款,,,,,,,,,0,0,0,关于2016年10月供应商待检单单据打印扣款
201612,100015,5000602548,,关于2016年11月供应商待检单单据打印扣款,EA,,-45,其它扣款,,,,,,,,,0,0,0,关于2016年11月供应商待检单单据打印扣款
201612,100015,5000571103,100002591,BQF3.0曲轴箱体,EA,100,200,正数,0,0,37,0,2,35,Y,,,,,
201612,100015,5000571104,100002621,XP140A-3曲轴箱体(无缸套_无轴承),EA,100,200,正数,0,0,8070,0,39,35,Y,,,,,
201612,100015,5000571105,100002623,XP160A曲轴箱体(无缸套_有轴承),EA,100,200,正数,0,0,20576,150,75,35,Y,,,,,
201612,100015,5000571106,100002624,XP160A曲轴箱体(带缸套_有轴承),EA,100,200,正数,0,0,304,3,1,35,Y,,,,,
201612,100015,5000571107,100002625,XP160A曲轴箱体(无缸套_有轴承_电启动),EA,100,200,正数,0,0,1439,0,2,1437,Y,,,,,
201612,100015,5000571108,100002634,165-VHB曲轴箱体,EA,100,200,负数,0,0,0,3,0,-3,Y,,,,,
201612,100015,5000571109,100002636,165-JW曲轴箱体(改型),EA,100,200,无价,0,0,0,0,1,-1,Y,,,,,
201612,100015,5000571110,100002650,170-SH曲轴箱体(改型),EA,100,200,负数,0,0,0,19,0,-19,Y,,,,,
201612,100015,5000571111,100002651,170-T0B曲轴箱体,EA,100,200,正数,0,0,1208,37,6,1165,Y,,,,,
201612,100015,5000571112,100002654,170-C0A曲轴箱体(改型),EA,100,200,负数,0,0,0,7,0,-7,Y,,,,,
201612,100015,5000571113,100002664,SN210曲轴箱体(6孔_有孔_底两孔_M10孔),EA,100,200,正数,0,0,955,0,4,951,Y,,,,,
201612,100015,5000571114,100002674,XP200曲轴箱体(减重),EA,100,200,正数,0,0,3754,0,9,3745,Y,,,,,
201612,100015,5000571115,100002675,XP200曲轴箱体(操纵前孔增高4_减重),EA,100,200,正数,0,0,1980,0,72,1908,Y,,,,,
201612,100015,5000571116,100002679,5P71MU曲轴箱体(精镗缸孔_刹车安装面加高),EA,100,200,正数,0,0,60,4,1,55,Y,,,,,
201612,100015,5000571117,100002700,178F曲轴箱体(M状态_扫雪机),EA,100,200,正数,0,0,100,0,1,99,Y,,,,,
201612,100015,5000571118,100002715,183F曲轴箱体(8孔_无孔_底4个8.7孔_侧面Rp1/4孔),EA,100,200,负数,0,0,0,30,4,-34,Y,,,,,
201612,100015,5000571119,100002734,190F曲轴箱体(M状态_扫雪机_SH状态),EA,100,200,负数,0,0,0,2,0,-2,Y,,,,,
201612,100015,5000571120,100002735,1P90F曲轴箱体(消孔左移15_呼位修模),EA,100,200,正数,0,0,11505,0,29,11476,Y,,,,,
201612,100015,5000571121,100002736,1P90F曲轴箱体(增加通气管),EA,100,200,正数,0,0,82,0,3,79,Y,,,,,
201612,100015,5000571122,100002755,XP550E-3曲轴箱体(无通气管接头_废气管接头减小),EA,100,200,正数,0,0,2825,1,13,2811,Y,,,,,
201612,100015,5000571123,100002756,XP550E-3曲轴箱体(废气管接头减小),EA,100,200,负数,0,0,0,0,3,-3,Y,,,,,
201612,100015,5000571124,100002762,XP620E-3曲轴箱体(废气管接头减小),EA,100,200,正数,0,0,85,2,2,81,Y,,,,,
201612,100015,5000571125,100002770,FH360-3曲轴箱体(8孔_有孔_底两孔_M12孔_无支耳),EA,100,200,正数,0,0,155,0,1,154,Y,,,,,
201612,100015,5000571126,100002774,FH300-3曲轴箱体(8孔_有孔_底两孔_M12孔_电启动),EA,100,200,正数,0,0,109,0,0,109,Y,,,,,
201612,100015,5000571127,100002779,FH420-3曲轴箱体(8孔_有孔_底两孔_M12孔_无支耳),EA,100,200,负数,0,0,0,0,1,-1,Y,,,,,
201612,100015,5000571128,100002782,FH420E-3曲轴箱体(8孔_有孔_底两孔_M12孔_无支耳),EA,100,200,正数,0,0,697,0,5,692,Y,,,,,
201612,100015,5000571129,100002920,BQF3.0曲轴箱盖,EA,100,200,正数,0,0,37,0,1,36,Y,,,,,
201612,100015,5000571130,100002948,XP140A-3曲轴箱盖(01型_端通孔_单放),EA,100,200,正数,0,0,10386,0,19,10367,Y,,,,,
201612,100015,5000571131,100002949,XP140A-3曲轴箱盖(02型_终通孔_单放_短机),EA,100,200,正数,0,0,1322,0,43,1279,Y,,,,,
201612,100015,5000571132,100002950,XP140A-3曲轴箱盖(03型_终通孔_单放_曲孔25.4),EA,100,200,正数,0,0,347,32,7,308,Y,,,,,
201612,100015,5000571133,100002951,XP140A-3曲轴箱盖(04型_终通孔_单放_短机_曲孔25.4),EA,100,200,负数,0,0,0,10,0,-10,Y,,,,,
201612,100015,5000571134,100002952,XP160A曲轴箱盖(02型_端螺纹),EA,100,200,正数,0,0,6996,0,5,6991,Y,,,,,
201612,100015,5000571135,100002953,XP160A曲轴箱盖(03型_端通孔),EA,100,200,负数,0,0,0,8,0,-8,Y,,,,,
201612,100015,5000571136,100002954,XP160A曲轴箱盖(04型_端通孔_曲孔25.4),EA,100,200,正数,0,0,16967,0,26,16941,Y,,,,,
201612,100015,5000571137,100002958,168FA曲轴箱盖(无注油塞孔),EA,100,200,正数,0,0,1381,0,6,1375,Y,,,,,
201612,100015,5000571138,100002961,168FA-2曲轴箱盖(配合无石棉垫用),EA,100,200,正数,0,0,1905,0,4,1901,Y,,,,,
201612,100015,5000571139,100002967,1P70F曲轴箱盖(10型),EA,100,200,负数,0,0,0,0,1,-1,Y,,,,,
201612,100015,5000571140,100002968,1P70F曲轴箱盖(13型),EA,100,200,正数,0,0,1090,19,0,1071,Y,,,,,
201612,100015,5000571141,100002969,1P70F曲轴箱盖(14型),EA,100,200,正数,0,0,1070,9,36,1025,Y,,,,,
201612,100015,5000571142,100002970,1P70F曲轴箱盖(15型),EA,100,200,正数,0,0,16,0,13,3,Y,,,,,
201612,100015,5000571143,100002971,1P70F曲轴箱盖(22型),EA,100,200,负数,0,0,0,4,0,-4,Y,,,,,
201612,100015,5000571144,100002972,1P70F曲轴箱盖(23型),EA,100,200,负数,0,0,0,5,0,-5,Y,,,,,
201612,100015,5000571145,100002973,1P70F曲轴箱盖(24型),EA,100,200,正数,0,0,2782,0,1,2781,Y,,,,,
201612,100015,5000571146,100002979,170-SH曲轴箱盖(改型),EA,100,200,正数,0,0,4344,0,6,4338,Y,,,,,
201612,100015,5000571147,100002983,170-SH曲轴箱盖(12型),EA,100,200,负数,0,0,0,9,0,-9,Y,,,,,
201612,100015,5000571148,100002987,170F/P-5曲轴箱盖,EA,100,200,负数,0,0,0,14,2,-16,Y,,,,,
201612,100015,5000571149,100002988,5P71MU曲轴箱盖,EA,100,200,正数,0,0,60,0,2,58,Y,,,,,
201612,100015,5000571150,100002991,170FE-2曲轴箱盖(改型_机组),EA,100,200,正数,0,0,768,0,2,766,Y,,,,,
201612,100015,5000571151,100002992,XP200A-3曲轴箱盖,EA,100,200,正数,0,0,10441,200,11,10230,Y,,,,,
201612,100015,5000571152,100002994,XP200A-3曲轴箱盖(端通孔加盲孔),EA,100,200,负数,0,0,0,9,1,-10,Y,,,,,
201612,100015,5000571153,100003010,ZH300曲轴箱盖(02型),EA,100,200,正数,0,0,67,0,0,67,Y,,,,,
201612,100015,5000571154,100003029,1P90F曲轴箱盖,EA,100,200,正数,0,0,45,0,0,45,Y,,,,,
201612,100015,5000571155,100003031,1P90F曲轴箱盖(01型),EA,100,200,正数,0,0,75,4,0,71,Y,,,,,
201612,100015,5000571156,100003032,1P90F曲轴箱盖(新调整齿位置_台阶加高),EA,100,200,正数,0,0,10769,0,866,9903,Y,,,,,
201612,100015,5000571157,100003036,XP600E-3曲轴箱盖(M10安装孔),EA,100,200,正数,0,0,72,0,1,71,Y,,,,,
201612,100015,5000571158,100003040,2VP78FE/P曲轴箱盖,EA,100,200,正数,0,0,16,0,1,15,Y,,,,,
201612,100015,5000571159,100003042,FH420-3曲轴箱盖(02型_机组),EA,100,200,正数,0,0,1194,0,5,1189,Y,,,,,
201612,100015,5000571160,100003043,FH420-3曲轴箱盖(8孔_公制_堵调速齿孔),EA,100,200,负数,0,0,0,0,1,-1,Y,,,,,
201612,100015,5000571161,100007071,BQF3.0启动器导风外罩,EA,100,200,正数,0,0,37,0,2,35,Y,,,,,
201612,100015,5000571162,100007806,168FA-4减速器右箱盖(离合器减速用),EA,100,200,负数,0,0,0,3,0,-3,Y,,,,,
201612,100015,5000571163,100007808,168FA-4减速器左箱盖(离合器减速用),EA,100,200,负数,0,0,0,1,0,-1,Y,,,,,
201612,100015,5000571164,100018578,QF2.8后托架,EA,100,200,正数,0,0,568,0,8,560,Y,,,,,
201612,100015,5000571165,100018706,QF2.0前端盖(YAMAHA用),EA,100,200,正数,0,0,100,0,3,97,Y,,,,,
201612,100015,5000571166,100023649,190F曲轴箱盖(18型),EA,100,200,负数,0,0,2,0,4,-2,Y,,,,,
201612,100015,5000571167,100030233,XP450E曲轴箱体,EA,100,200,正数,0,0,65,0,6,59,Y,,,,,
201612,100015,5000571168,100050499,EH2500启动器风扇罩,EA,100,200,正数,0,0,6,0,1,5,Y,,,,,
201612,100015,5000571169,100050608,XP380曲轴箱盖(00型),EA,100,200,正数,0,0,7385,41,97,7247,Y,,,,,
201612,100015,5000571170,100051891,XP380曲轴箱体组合,EA,100,200,正数,0,0,6019,18,68,5933,Y,,,,,
201612,100015,5000571171,100052270,GB620曲轴箱体(带缸套_带通气管_无调速柄孔),EA,100,200,正数,0,0,25,0,0,25,Y,,,,,
201612,100015,5000571172,100052271,GB620曲轴箱盖(无调速齿芯轴孔),EA,100,200,正数,0,0,24,0,1,23,Y,,,,,
201612,100015,5000571173,100052654,170F曲轴箱盖(EH2500专用),EA,100,200,正数,0,0,5,0,0,5,Y,,,,,
201612,100015,5000571174,100054259,FH440E-3曲轴箱体(8孔_有孔_底两孔_M12孔_无支耳),EA,100,200,无价,0,0,205,0,4,201,Y,,,,,
201612,100015,5000571175,100056314,EH4000曲轴箱体(8孔_底两孔),EA,100,200,正数,0,0,10,0,1,9,Y,,,,,
201612,100015,5000571176,100056390,XP140A-3曲轴箱体(带缸套_无轴承),EA,100,200,正数,0,0,2284,0,9,2275,Y,,,,,
201612,100015,5000571177,100057141,XP140A-3曲轴箱盖(05型_终螺纹_单放),EA,100,200,正数,0,0,1223,0,5,1218,Y,,,,,
201612,100015,5000571178,100057296,XP160A曲轴箱体(无缸套_有轴承_缸孔壁加厚),EA,100,200,正数,0,0,1278,0,3,1275,Y,,,,,
201612,100015,5000571179,100057538,XP200A-3曲轴箱体(铸铁缸套_手启动_缸头螺栓孔加深),EA,100,200,正数,0,0,60,0,0,60,Y,,,,,
201612,100015,5000571180,100057539,XP200A-3曲轴箱体(无缸套_电启动_缸头螺栓孔加深),EA,100,200,正数,0,0,2794,0,11,2783,Y,,,,,
201612,100015,5000571181,100057540,XP200A-3曲轴箱体(无缸套_手启动_缸头螺栓孔加深),EA,100,200,正数,0,0,8236,0,28,8208,Y,,,,,
201612,100015,5000571182,100057614,QF10.0-E前托架(φ230_侧排风),EA,100,200,正数,0,0,651,0,4,647,Y,,,,,
201612,100015,5000571183,100057881,175-CU曲轴箱体,EA,100,200,负数,0,0,0,0,2,-2,Y,,,,,
201612,100015,5000571184,100057884,675-SU曲轴箱盖,EA,100,200,正数,0,0,15,0,4,11,Y,,,,,
201612,100015,5000571185,100058278,PH13500E后托架(φ230),EA,100,200,正数,0,0,652,0,5,647,Y,,,,,
201612,100015,5000571186,100061019,675-SU曲轴箱体(增加雪机放油螺栓孔和电机孔),EA,100,200,正数,0,0,15,0,0,15,Y,,,,,
201612,100015,5000571187,100061042,XP200A-3曲轴箱盖(终端通孔加盲孔_3/8-18_NPT放油螺纹孔),EA,100,200,正数,0,0,972,0,4,968,Y,,,,,
201612,100015,5000571188,100061302,170-PUA曲轴箱体总成(有孔),EA,100,200,正数,0,0,50,0,6,44,Y,,,,,
201612,100015,5000571189,100061528,EH2500曲轴箱体(8孔_底座两条孔两圆孔_整流桥状态),EA,100,200,正数,0,0,1,0,0,1,Y,,,,,
201612,100015,5000571190,100062960,XP200A-3曲轴箱体(无缸套_缸面距曲轴孔中心131.4_电启动),EA,100,200,负数,0,0,0,6,0,-6,Y,,,,,
201612,100015,5000571191,100063213,XP680A曲轴箱盖(01型),EA,100,200,正数,0,0,656,6,509,141,Y,,,,,
201612,100015,5000571192,100064890,XP440曲轴箱体组合,EA,100,200,负数,0,0,0,0,2,-2,Y,,,,,
201612,100015,5000571193,100064895,VP225曲轴箱体组合,EA,100,200,正数,0,0,21,0,5,16,Y,,,,,
201612,100015,5000571194,100065632,XP200A-3曲轴箱盖(加强筋),EA,100,200,正数,0,0,363,0,7,356,Y,,,,,
201612,100015,5000571195,100065634,XP200A-3曲轴箱体(铸铁缸套_电启动_加大散热片),EA,100,200,正数,0,0,357,1,11,345,Y,,,,,
201612,100015,5000571196,100065772,XP140A-3曲轴箱体(铸铁缸套_无轴承_加大散热片),EA,100,200,无价,0,0,1471,0,13,1458,Y,,,,,
201612,100015,5000571197,100065856,XP140A-3曲轴箱盖(01型_端通孔_单放_加强筋),EA,100,200,正数,0,0,1471,0,9,1462,Y,,,,,
201612,100015,5000571198,100066139,675-WU曲轴箱盖(02型_盲孔),EA,100,200,无价,0,0,100,0,0,100,Y,,,,,
201612,100015,5000571199,100066428,XP200A-3曲轴箱体(铸铁缸套_手启动_加大散热片),EA,100,200,正数,0,0,6,0,0,6,Y,,,,,
